1 nan
2 nan
3 nan
4 nan
5 nan
6 0.0
7 2.0
8 3.0
9 4.0
10 4.0
11 5.0
12 5.0
13 6.0
14 6.0
15 6.0
16 6.0
17 7.0
18 7.0
19 7.0
20 7.0
21 7.0
22 7.0
23 8.0
24 8.0
25 8.0
26 8.0
27 8.0
28 8.0
29 8.0
30 8.0
31 9.0
32 9.0
33 9.0
34 9.0
35 9.0
36 9.0
37 9.0
38 9.0
39 9.0
40 9.0
41 9.0
42 9.0
43 9.0
44 10.0
45 10.0
46 10.0
47 10.0
48 10.0
49 10.0
50 10.0
51 10.0
52 10.0
53 10.0
54 10.0
55 10.0
56 10.0
57 10.0
58 10.0
59 10.0
60 10.0
61 10.0
62 10.0
63 11.0
64 11.0
65 11.0
66 11.0
67 11.0
68 11.0
69 11.0
70 11.0
71 11.0
72 11.0
73 11.0
74 11.0
75 11.0
76 11.0
77 11.0
78 11.0
79 11.0
80 11.0
81 11.0
82 11.0
83 11.0
84 11.0
85 11.0
86 11.0
87 11.0
88 11.0
89 11.0
90 11.0
91 11.0
92 12.0
93 12.0
94 12.0
95 12.0
96 12.0
97 12.0
98 12.0
99 12.0
